"user_id,""sb0"",""sb1"",""sb2"",""sb3"",""sb4"",""sb5"",""sb6"",""sb7"",""sb8"",""sb9"",""ms"",""regularf"",""final"",""certificate"",""gradepf"",""milestone"",""step"""
"153539,2013-08-14,2014-06-25 06:40:00,NA,NA,NA,NA,NA,NA,NA,2014-06-04 04:47:08,2,0,0,0,0,10,2"
"162750,2013-06-10,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-01 12:10:08,1,0,0,0,0,1,1"
"162750,2013-06-10,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-01 12:10:08,1,0,0,0,0,10,2"
"168389,2013-09-26,2014-04-09 16:08:00,2014-04-19 15:25:01,2014-04-26 16:10:02,2014-05-02 17:07:03,2014-05-14 18:29:04,2014-05-23 08:40:05,NA,NA,2014-04-19 15:16:08,7,0,0,0,0,1,1"
"168389,2013-09-26,2014-04-09 16:08:00,2014-04-19 15:25:01,2014-04-26 16:10:02,2014-05-02 17:07:03,2014-05-14 18:29:04,2014-05-23 08:40:05,NA,NA,2014-04-19 15:16:08,7,0,0,0,0,2,2"
"168389,2013-09-26,2014-04-09 16:08:00,2014-04-19 15:25:01,2014-04-26 16:10:02,2014-05-02 17:07:03,2014-05-14 18:29:04,2014-05-23 08:40:05,NA,NA,2014-04-19 15:16:08,7,0,0,0,0,10,3"
"176921,2014-03-03,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-06 18:30:08,1,0,0,0,0,1,1"
"176921,2014-03-03,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-06 18:30:08,1,0,0,0,0,10,2"
"180610,2013-10-23,2014-02-19 01:32:00,2014-04-09 21:54:01,NA,NA,NA,NA,NA,NA,2014-02-17 23:11:08,3,0,0,0,0,1,1"
"180610,2013-10-23,2014-02-19 01:32:00,2014-04-09 21:54:01,NA,NA,NA,NA,NA,NA,2014-02-17 23:11:08,3,0,0,0,0,2,3"
"180610,2013-10-23,2014-02-19 01:32:00,2014-04-09 21:54:01,NA,NA,NA,NA,NA,NA,2014-02-17 23:11:08,3,0,0,0,0,10,2"
"189077,2013-09-22,2014-05-22 07:05:00,2014-05-22 07:12:01,2014-05-22 14:27:02,2014-10-05 06:22:03,2014-10-05 07:54:04,2014-11-15 12:10:05,NA,NA,2014-05-22 06:43:08,7,0,0,0,0,1,1"
"189077,2013-09-22,2014-05-22 07:05:00,2014-05-22 07:12:01,2014-05-22 14:27:02,2014-10-05 06:22:03,2014-10-05 07:54:04,2014-11-15 12:10:05,NA,NA,2014-05-22 06:43:08,7,0,0,0,0,2,3"
"189077,2013-09-22,2014-05-22 07:05:00,2014-05-22 07:12:01,2014-05-22 14:27:02,2014-10-05 06:22:03,2014-10-05 07:54:04,2014-11-15 12:10:05,NA,NA,2014-05-22 06:43:08,7,0,0,0,0,10,2"
"189783,2013-10-20,2014-02-16 20:26:00,2014-03-12 22:00:01,NA,NA,NA,NA,NA,NA,2014-02-16 19:49:08,3,0,0,0,0,1,1"
"189783,2013-10-20,2014-02-16 20:26:00,2014-03-12 22:00:01,NA,NA,NA,NA,NA,NA,2014-02-16 19:49:08,3,0,0,0,0,2,3"
"189783,2013-10-20,2014-02-16 20:26:00,2014-03-12 22:00:01,NA,NA,NA,NA,NA,NA,2014-02-16 19:49:08,3,0,0,0,0,10,2"
"192516,2013-11-01,2014-02-20 07:36:00,2014-03-02 06:44:01,2014-03-24 18:55:02,NA,NA,NA,NA,NA,2014-02-16 06:12:08,4,0,0,0,0,1,1"
"192516,2013-11-01,2014-02-20 07:36:00,2014-03-02 06:44:01,2014-03-24 18:55:02,NA,NA,NA,NA,NA,2014-02-16 06:12:08,4,0,0,0,0,2,3"
"192516,2013-11-01,2014-02-20 07:36:00,2014-03-02 06:44:01,2014-03-24 18:55:02,NA,NA,NA,NA,NA,2014-02-16 06:12:08,4,0,0,0,0,10,2"
"197443,2014-06-16,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 21:08:08,1,0,0,0,0,1,1"
"197443,2014-06-16,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-13 21:08:08,1,0,0,0,0,10,2"
"207691,2013-07-16,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-03 16:32:08,1,0,0,0,0,1,1"
"207691,2013-07-16,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-03 16:32:08,1,0,0,0,0,10,2"
"208482,2014-01-07,2014-06-11 16:06:00,2014-05-02 07:54:01,NA,NA,NA,NA,NA,NA,2014-04-24 02:44:08,3,0,0,0,0,1,1"
"208482,2014-01-07,2014-06-11 16:06:00,2014-05-02 07:54:01,NA,NA,NA,NA,NA,NA,2014-04-24 02:44:08,3,0,0,0,0,3,3"
"208482,2014-01-07,2014-06-11 16:06:00,2014-05-02 07:54:01,NA,NA,NA,NA,NA,NA,2014-04-24 02:44:08,3,0,0,0,0,10,2"
"216350,2013-07-20,2014-05-06 05:27:00,NA,NA,NA,NA,NA,NA,NA,2014-05-06 05:23:08,2,0,0,0,0,1,1"
"216350,2013-07-20,2014-05-06 05:27:00,NA,NA,NA,NA,NA,NA,NA,2014-05-06 05:23:08,2,0,0,0,0,2,3"
"216350,2013-07-20,2014-05-06 05:27:00,NA,NA,NA,NA,NA,NA,NA,2014-05-06 05:23:08,2,0,0,0,0,10,2"
"223434,2013-12-02,2014-07-06 18:22:00,2014-11-09 18:41:01,NA,NA,NA,NA,NA,NA,2014-07-06 12:03:08,3,0,0,0,0,1,1"
"223434,2013-12-02,2014-07-06 18:22:00,2014-11-09 18:41:01,NA,NA,NA,NA,NA,NA,2014-07-06 12:03:08,3,0,0,0,0,2,3"
"223434,2013-12-02,2014-07-06 18:22:00,2014-11-09 18:41:01,NA,NA,NA,NA,NA,NA,2014-07-06 12:03:08,3,0,0,0,0,10,2"
"233239,2013-11-06,2014-02-21 01:26:00,NA,NA,NA,NA,NA,NA,NA,2014-02-21 01:21:08,2,0,0,0,0,1,1"
"233239,2013-11-06,2014-02-21 01:26:00,NA,NA,NA,NA,NA,NA,NA,2014-02-21 01:21:08,2,0,0,0,0,2,3"
"233239,2013-11-06,2014-02-21 01:26:00,NA,NA,NA,NA,NA,NA,NA,2014-02-21 01:21:08,2,0,0,0,0,10,2"
"251057,2014-01-12,2014-04-25 22:22:00,NA,NA,NA,NA,NA,NA,NA,2014-04-25 21:59:08,2,0,0,0,0,1,1"
"251057,2014-01-12,2014-04-25 22:22:00,NA,NA,NA,NA,NA,NA,NA,2014-04-25 21:59:08,2,0,0,0,0,2,3"
"251057,2014-01-12,2014-04-25 22:22:00,NA,NA,NA,NA,NA,NA,NA,2014-04-25 21:59:08,2,0,0,0,0,10,2"
"253513,2013-11-20,2014-07-11 03:44:00,2014-07-11 03:45:01,2014-08-07 04:15:02,2014-08-23 19:45:03,NA,NA,NA,NA,2014-06-28 19:20:08,5,0,0,0,0,1,1"
"253513,2013-11-20,2014-07-11 03:44:00,2014-07-11 03:45:01,2014-08-07 04:15:02,2014-08-23 19:45:03,NA,NA,NA,NA,2014-06-28 19:20:08,5,0,0,0,0,2,3"
"253513,2013-11-20,2014-07-11 03:44:00,2014-07-11 03:45:01,2014-08-07 04:15:02,2014-08-23 19:45:03,NA,NA,NA,NA,2014-06-28 19:20:08,5,0,0,0,0,10,2"
"255511,2014-03-28,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-16 03:31:08,1,0,0,0,0,1,1"
"255511,2014-03-28,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-16 03:31:08,1,0,0,0,0,10,2"
"261225,2013-08-07,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-05 20:28:08,1,0,0,0,0,1,1"
"261225,2013-08-07,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-05 20:28:08,1,0,0,0,0,10,2"
"265097,2014-04-19,2014-08-05 23:41:00,2014-08-09 08:02:01,2014-08-24 01:14:02,2014-08-31 03:33:03,NA,NA,NA,NA,2014-08-02 06:57:08,5,0,0,0,0,1,1"
"265097,2014-04-19,2014-08-05 23:41:00,2014-08-09 08:02:01,2014-08-24 01:14:02,2014-08-31 03:33:03,NA,NA,NA,NA,2014-08-02 06:57:08,5,0,0,0,0,2,3"
"265097,2014-04-19,2014-08-05 23:41:00,2014-08-09 08:02:01,2014-08-24 01:14:02,2014-08-31 03:33:03,NA,NA,NA,NA,2014-08-02 06:57:08,5,0,0,0,0,10,2"
"276905,2014-02-15,2014-09-26 22:16:00,NA,NA,NA,NA,NA,NA,NA,2014-09-22 05:13:08,2,0,0,0,0,1,1"
"276905,2014-02-15,2014-09-26 22:16:00,NA,NA,NA,NA,NA,NA,NA,2014-09-22 05:13:08,2,0,0,0,0,2,3"
"276905,2014-02-15,2014-09-26 22:16:00,NA,NA,NA,NA,NA,NA,NA,2014-09-22 05:13:08,2,0,0,0,0,10,2"
"277481,2013-09-10,2014-01-29 02:49:00,2014-01-29 02:52:01,NA,NA,NA,NA,NA,NA,2014-01-27 20:19:08,3,0,0,0,0,1,1"
"277481,2013-09-10,2014-01-29 02:49:00,2014-01-29 02:52:01,NA,NA,NA,NA,NA,NA,2014-01-27 20:19:08,3,0,0,0,0,2,3"
